time_tick,acc_X_value,acc_Y_value,acc_Z_value
12.615173,-35.776336,-9.045916,-2.646735
12.648398,-19.599036,0.529137,0.674291
12.681699,-7.365725,7.881844,2.936444
12.714553,-0.274146,17.435947,4.132689
12.748368,4.642223,19.8865,3.769506
12.781167,-1.863055,19.057179,3.338684
12.815084,-8.859611,16.553054,2.997348
12.848441,-28.427671,2.953353,2.086172
12.881746,-38.069315,-10.855249,-1.28678
12.914607,-34.448255,-15.508696,-5.648423
12.948182,-20.724052,-16.028256,-6.738123
12.981729,-6.973212,-15.058719,-3.305912
13.01434,-0.023644,-16.035439,-5.289429
13.048491,3.758881,-15.345585,-7.486188
13.081796,4.667663,-13.926371,-8.797658
13.115135,-3.978856,-12.71546,-10.732691
13.148488,-15.765483,-13.802168,-11.843341
13.181838,-37.863407,-18.20586,-10.483835
13.215449,-33.066003,-11.283078,-4.945101
13.248625,-20.333633,-3.211188,-0.52375
13.281733,-5.805099,8.686923,3.202209
13.315079,-1.03927,17.047324,5.363054
13.349122,2.875838,18.887185,5.04596
13.381784,-0.012271,19.020067,4.337401
13.415096,-10.269098,15.341096,3.069626
13.448321,-23.135249,6.182049,2.336974
13.482048,-31.839231,-5.205928,1.357411
13.515124,-32.499754,-14.87421,-5.273717
13.548739,-28.652584,-17.569129,-6.56723
13.581786,-13.343662,-17.129478,-5.773823
13.615209,-1.645025,-15.488494,-3.802278
13.648624,5.588565,-13.937744,-4.06969
13.68151,7.402537,-12.457326,-4.805035
13.715134,0.341186,-11.333508,-7.013316
13.74873,-19.654703,-16.914142,-9.138096
13.781795,-30.83378,-17.811551,-10.829211
13.815205,-38.098795,-14.232241,-9.246587
13.84848,-24.551469,-4.030633,-0.584505
13.881803,-14.33325,2.818375,2.399525
13.915135,-5.770382,11.362988,3.262366
13.94909,2.291034,17.852254,4.463699
13.981471,3.075911,18.723625,4.541364
14.01536,-2.956945,17.987232,3.47007
14.048482,-10.654727,15.014724,3.442536
14.082618,-31.046422,0.205011,4.112039
14.115239,-39.151234,-12.682389,0.63284
14.14842,-39.369563,-19.531547,-4.216938
14.181802,-16.067911,-16.957239,-4.05293
14.215149,-4.499015,-15.929192,-3.498652
14.248437,1.199388,-15.243079,-7.150688
14.281723,6.174418,-13.114409,-7.771557
14.315121,5.689126,-11.94031,-9.105923
14.348483,-2.29253,-10.249794,-9.728438
14.381503,-12.291372,-13.807854,-10.721019
14.415147,-38.772488,-23.954244,-9.886012
14.44926,-42.125238,-16.639847,-5.422611
14.481812,-29.447487,-6.062185,1.313865
14.514977,-12.072894,10.54908,4.058167
14.548258,-3.744815,20.354883,5.53649
14.582707,1.590555,21.916407,6.185342
14.615004,-0.259032,20.981138,5.753173
14.648234,-7.947238,16.506964,3.913762
14.681779,-18.498113,9.187329,4.0236
