time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
10.6021,-0.375272,2.064331,-3.822467
10.632068,0.690117,-0.223629,-4.289123
10.672046,1.896214,-3.398106,-4.711526
10.702045,1.771671,-6.208801,-0.833771
10.732013,-0.482743,-6.806928,2.09416
10.771991,1.00651,-2.349301,1.926683
10.80199,2.805541,0.544969,1.843855
10.831958,3.813434,1.348821,1.317049
10.871936,4.116829,-0.816327,-0.730317
10.901935,2.709657,-2.30457,-0.951384
10.931903,1.204074,-2.478472,0.398008
10.961902,-0.442078,-0.172695,0.963751
11.00188,-1.891434,2.678178,2.137664
11.031848,-1.068581,3.034498,1.39123
11.071826,-2.253258,0.643276,3.771976
11.101825,-4.437647,-3.046728,4.169031
11.131794,-5.155435,-3.13883,2.915021
11.171772,-4.253641,1.312555,0.112957
11.20177,-2.347269,4.023457,-2.732852
11.231739,-0.718077,5.389891,-3.332379
11.261737,-0.152364,3.895616,-3.746737
11.301715,-0.985586,-2.720108,-4.680359
11.331684,0.790213,-4.242749,-4.347073
11.371662,3.128793,-2.235508,-3.655048
11.40166,1.569672,-4.102787,-0.696941
11.431629,0.744522,-5.517489,0.814765
11.471607,1.303424,-3.614254,1.570766
11.501606,2.035217,-1.627198,1.947578
11.531574,2.72487,-0.350764,1.292066
11.571531,2.54372,-0.550734,-0.231847
11.60153,0.856793,-1.138758,-0.18823
11.631498,-0.629572,0.262566,1.418071
11.671476,-1.714034,2.404206,2.247531
11.701475,-1.991232,2.569419,1.781694
11.731443,-1.888389,1.54688,2.798918
11.771421,-3.341609,-2.261377,3.637608
11.80142,-4.287443,-2.894838,2.571315
11.831388,-4.104784,-0.23352,1.276777
11.871366,-2.504323,4.130625,-1.321571
11.901365,-0.762001,5.493209,-2.4305
11.931333,0.264347,3.764186,-2.981124
11.971311,-0.692319,-2.607714,-4.04602
12.00131,0.753752,-4.311863,-4.355954
12.031278,2.595858,-4.575994,-3.573781
12.071256,0.216026,-5.826897,1.376814
12.101255,0.232825,-4.463772,1.126519
12.131223,2.519725,-0.982432,1.314996
12.171201,3.257086,0.433606,1.428315
12.2012,3.77511,-0.473309,0.613022
12.231168,2.67784,-1.451832,-1.062122
12.271146,-0.861023,-1.48378,-1.547872
12.301145,-1.193699,1.4772,1.46651
12.331113,-2.404072,3.651179,1.792955
12.371091,-1.006008,5.76615,2.346452
12.40109,-1.056022,3.008937,4.932717
12.431058,-3.718287,-2.400208,5.085014
12.471036,-3.653885,-1.281912,3.496542
12.501035,-1.221628,1.787448,0.569402
12.531003,-0.952574,3.015894,-2.139972
12.570934,-1.04679,2.584122,-4.440239
12.600932,0.023192,0.04403,-5.310372
12.630901,-0.118338,-2.309733,-5.913847
12.670879,2.315102,-1.32661,-4.560814
12.700877,1.851881,-2.737013,-1.996203
12.730846,0.749742,-3.964209,0.916181
12.770824,0.456794,-4.210717,1.241785
12.800822,1.78356,-2.848584,1.29144
12.830791,3.076254,-1.972687,0.712382
12.870769,3.363691,-1.576448,-0.421786
12.900767,0.821159,-2.058251,-0.535289
12.930736,-1.471166,-2.12212,0.622439
12.970714,-2.600609,1.801589,1.698016
13.000713,-2.040315,4.195791,1.979932
13.030681,-0.378777,4.072543,1.011636
13.070659,-2.556415,0.109082,5.002198
13.100658,-5.220387,-3.019958,4.409972
13.130626,-4.459908,-0.353138,2.753787
13.170604,-1.598117,3.942961,-0.756651
13.200603,-0.460488,3.815675,-2.401486
13.230571,-0.418355,1.846113,-3.366191
13.270549,0.313273,-1.461748,-4.758841
13.300548,1.292401,-3.073268,-4.570876
13.330547,2.315655,-5.049867,-5.702035
13.370525,-0.303519,-5.930786,0.762866
13.400493,-0.087851,-3.582625,0.904102
13.430492,2.194526,-0.618398,0.02233
13.47047,3.933327,-0.455634,-0.275462
13.500438,4.189637,-3.064312,-0.588033
13.530437,2.522698,-4.887944,-1.264887
13.570368,-1.313594,-1.863363,-0.182511
13.600336,-1.530908,3.892294,1.28924
13.630335,-1.75364,5.276458,1.698255
13.670313,-0.783317,3.816571,2.200871
13.700281,-2.708797,0.183268,4.778485
13.73028,-4.319605,-2.454388,4.317546
13.770258,-3.3743,0.265305,2.04447
13.800226,-1.98072,2.819646,0.366418
13.830225,-0.456959,3.240912,-2.082536
13.870203,-1.045096,1.462196,-4.533188
13.900171,0.520809,0.03434,-4.162114
13.93017,1.180563,-1.268302,-4.034423
13.970148,1.052544,-5.139885,-2.534865
14.000116,-1.155244,-5.825426,1.125202
14.030115,-0.245507,-2.526773,1.783483
14.070093,2.681148,0.423452,0.763844
14.100061,3.091523,0.184688,0.163884
14.13006,3.510206,-1.327664,-0.852197
14.170038,1.68343,-2.591579,-0.847547
14.200006,0.282569,-1.701336,0.63517
14.230005,-0.301998,1.773383,1.851888
14.269983,-0.72524,4.830451,3.656442
14.299951,-0.80717,4.716797,2.706272
14.32995,-0.9343,3.606602,3.437423
14.369928,-2.517567,-3.424908,4.769224
14.399897,-5.239533,-5.068735,3.534733
14.429895,-4.002806,-0.875492,1.428217
14.469873,-1.733023,4.745766,-1.40725
14.499842,-1.231829,5.435076,-3.242402
14.52984,-0.098066,3.346183,-3.901862
14.569807,-0.587171,-2.79653,-3.543852
14.599776,-0.192695,-6.04711,-4.126522
14.629774,1.387675,-6.754635,-1.309696
14.669752,0.409106,-4.516718,1.123805
14.699721,1.311111,-1.581076,0.636035
14.72972,2.454011,0.210808,0.632293
14.769698,2.727497,-0.230849,0.021809
14.799666,1.791417,-1.393717,-1.052311
14.829665,0.315184,-1.650321,-1.711014
14.869643,-0.136084,0.416411,2.220592
14.899611,-0.993368,1.787,2.80176
14.92961,-1.014214,3.01122,2.417245
14.969588,-1.071633,2.101759,3.560379
14.999556,-2.913368,-1.13252,3.781456
15.029555,-3.647498,-2.639548,2.86346
15.069533,-3.588399,-0.486536,0.215532
15.099501,-2.435419,2.998743,-2.374826
15.1295,-0.561231,5.096663,-3.260654
15.169478,0.909082,2.739304,-3.857036
15.199446,-0.32874,-2.670489,-4.162767
15.229445,0.048099,-5.709637,-3.934113
15.269423,2.226459,-6.313395,-2.809927
